Line,Avg_Delay,Total_Delay,Incident_Count
99 ARROW ROAD,22.322033898305083,1317,59
995 YORK MILLS EXPRESS,12.529691211401426,5275,421
996 WILSON EXPRESS,13.165341812400635,8281,629
9984,10.0,20,2
9985,12.0,12,1
999,1.0028409090909092,353,352
999 (100 FLEMINGDON),0.0,0,1
999 (165 WESTON ROAD),0.0,0,1
999 (33 FOREST HILL),15.0,15,1
999 (600 RAD),0.0,0,1
999 (7 BATHURST),0.0,0,1
999 - RAD,0.0,0,1
999 - SHUTTLE,0.0,0,1
999 RAD,1.25,5,4
A,0.0,0,5
A150,0.0,0,1
A304,0.0,0,1
A356,0.0,0,1
A421,0.0,0,1
A433,0.0,0,1
A521,0.0,0,1
BD,5.454545454545454,60,11
CHARTERED BUS,0.0,0,1
CNE SHUTTLES,0.0,0,1
CONSTRUCTION BUS,0.0,0,1
EMERGENCY SHUTTLE,0.0,0,1
FLEET,0.0,0,4
FLEET 079,0.0,0,1
FLEET 898,0.0,0,1
FLEET A,0.0,0,1
FLEET A398,0.0,0,1
FLEET VEHICLE,0.0,0,1
HARVEY SHOP REPAIR PER,0.0,0,1
LINE 1,0.0,0,1
LINE 1 - SHUTTLE,0.0,0,1
LINE 1 SHUTTLE,5.260869565217392,242,46
LINE 1 SHUTTLE (600 RA,0.0,0,1
LINE 1 SHUTTLE (RAD),0.0,0,1
LINE 1 SHUTTLE BUS,0.0,0,3
LINE 2,7.666666666666667,23,3
LINE 2 SHUTLE,0.0,0,1
LINE 2 SHUTLLE,2.0,2,1
LINE 2 SHUTTLE,11.966666666666667,359,30
LINE 2 SHUTTLE (RAD BU,2.0,2,1
LINE 2 SHUTTLE - 600 R,0.0,0,1
LINE 2 SHUTTLE BUS,1.75,14,8
LINE 6 SHUTTLE BUS,10.0,10,1
MT DENNIS TEST BUS,0.0,0,1
NIGHT TRADES,0.0,0,1
OTC,0.0,0,5
OTC BUS,0.0,0,3
OTC TRAINING BUS,0.0,0,3
R5 - DODGE RAM FLEET V,0.0,0,1
RAD,10.181818181818182,224,22
RAD (600),0.0,0,1
RAD 600,1.25,5,4
RAD 63,0.0,0,1
RAD 72 PAPE,0.0,0,1
RAD 999,0.0,0,1
RAD BUS,0.0,0,2
REVENUE DEPARTMENT,0.0,0,1
REVENUE TRUCK 85,0.0,0,1
SHP,0.0,0,2
SHUTTLE BUS,2.409090909090909,53,22
SHUTTLE BUS - LINE 1,0.0,0,1
SHUTTLE LINE 1,0.0,0,2
SRT,0.0,0,20
TBM,0.0,0,2
TRAINING BUS,0.7692307692307693,10,13
UNKNOWN,2.045673076923077,1702,832
VISION ISSUES,0.0,0,1
YU,0.5882352941176471,10,17
